TE	Al110	Al4	C1674	Sexchro-10	Sexchro-11	Sexchro-12	Sexchro-13	Sexchro-14	Sexchro-15	Sexchro-16	Sexchro-1	Sexchro-2	Sexchro-3	Sexchro-4	Sexchro-5	Sexchro-6	Sexchro-7	Sexchro-8	Sexchro-9	SR	ST8	T2	Z613
90U_SAT	8.49072	7.23672	9.2192	14.1017	15.3729	14.7853	14.6032	14.1075	14.0641	14.0567	14.5148	14.8866	13.9712	14.3254	14.9347	15.8567	15.4368	14.8468	15.04	11.4802	11.9972	13.2169	15.3731
ACCORD	25.27	28.2389	29.0512	25.254	23.7987	29.0039	28.0952	24.0605	27.529	26.9838	28.0213	27.2706	24.5834	26.3572	22.5229	26.5964	25.8305	24.6141	24.158	32.0252	25.4233	18.8036	28.3579
ACCORD2	249.955	263.904	275.517	310.594	306.295	315.865	317.179	325.133	311.353	322.412	321.808	324.964	310.846	312.132	317.507	323.262	318.446	313.497	314.703	271.875	269.667	261.671	268.08
BARI1	16.8857	16.8988	17.4334	16.2721	16.7214	17.6796	16.7521	16.6765	16.9146	17.2179	17.0632	17.6601	16.3686	17.2328	17.3415	17.3256	17.2529	16.9344	17.7942	15.0763	18.1171	17.7818	18.0505
BARI_DM	3.95808	7.17117	6.1506	2.72685	3.0039	4.93856	5.06715	3.11216	5.33288	3.81709	5.0968	5.4825	2.95731	3.24938	3.05841	4.90028	2.45872	2.53504	2.4628	21.7934	4.87976	7.74968	4.99029
BATUMI	937.054	1032.7	986.521	928.431	989.464	1000.15	1024.94	977.16	991.727	1003.32	996.568	1020.45	951.256	987.741	972.879	1011.05	947.962	986.382	980.514	829.561	956.231	898.379	948.08
BEL	185.274	193.923	165.892	188.987	185.2	187.109	182.369	182.003	180.368	185.753	183.44	183.232	180.651	184.138	184.03	185.729	184.153	186.437	185.077	125.224	180.632	171.369	165.434
BEL-2_DSe	107.145	130.93	162.783	131.223	134.097	133.108	137.717	132.634	129.059	133.225	132.993	136.572	133.018	132.832	131.648	133.873	132.491	131.272	131.196	129.241	131.888	125.07	135.027
BEL-3_DYa	31.9306	32.0802	31.9188	29.2496	29.5182	29.52	28.2295	29.1545	29.7203	28.7876	28.3759	30.2634	29.853	29.0633	29.5646	29.51	29.7561	28.8547	29.939	31.3874	28.4293	30.3618	30.7211
BEL3_DM	2.78768	2.93664	3.3098	2.82702	3.1155	2.80324	3.00366	2.75984	3.23568	3.19761	2.89188	2.9928	3.1642	2.58542	3.21606	2.98592	2.98958	3.18744	3.0926	3.35179	3.1004	3.03883	3.11736
BLASTOPIA	46.4436	49.1887	24.656	32.6443	34.9866	42.2004	41.2088	36.3917	43.8015	38.8815	42.0818	44.1309	35.4634	36.0752	35.8916	44.0062	33.8912	35.8634	39.151	19.4458	45.7646	28.5968	38.527
BLOOD	131	127.311	130.851	123.732	124.89	124.506	130.439	124.472	123.264	129.462	122.379	136.237	125.217	128.999	122.526	130.682	126.219	127.339	123.807	77.7018	117.424	121.62	117.416
BS	88.7482	97.2369	102.912	97.0647	96.5712	102.92	99.8167	97.8275	99.6298	101.558	102.944	102.852	95.4006	99.2017	100.349	101.184	96.3231	97.8507	99.029	82.9127	97.8109	91.1118	94.4761
BS2	407.384	435.291	444.465	449.93	453.877	451.656	450.842	445.186	438.409	441.571	448.385	449.191	448.331	436.634	442.408	444.372	445.741	452.644	447.111	414.55	428.934	403.076	428.122
BS3_DM	49.4122	51.247	51.8178	54.1697	54.2934	54.9921	53.7606	53.5086	52.353	52.5738	53.1175	52.761	53.4141	53.3482	52.9073	52.964	52.7228	53.823	52.7904	51.4846	52.6394	51.063	53.5231
BS4_DM	15.7153	15.9942	15.1554	15.4596	16.1634	16.111	15.8364	16.7058	16.0671	15.0042	15.1574	15.9573	15.7236	16.5286	15.1134	15.2547	14.7104	16.2168	14.758	11.928	16.3108	15.9904	15.7753
BURDOCK	200.883	233.148	172.458	202.076	196.741	195.356	196.19	197.652	197.693	200.921	195.828	197.164	198.444	199.087	210.41	201.67	208.74	200.669	196.197	133.719	193.681	176.239	193.44
Baggins1	1078.84	1167.1	1128.84	1176.35	1187.33	1183.73	1209.3	1188.54	1181.73	1192.79	1186.19	1218.6	1171.9	1182.07	1230.29	1197.16	1183.37	1181.84	1173.65	1021.62	1162.27	1112.61	1143.62
Bica	135.202	129.959	94.0412	150.032	150.902	146.578	150.403	148.107	149.064	153.722	148.616	151.665	145.943	147.952	156.546	149.139	151.505	150.005	152.919	131.765	135.784	129.528	132.387
CIRCE	127.095	117.335	119.448	136.944	136.784	135.041	138.01	138.785	136.061	136.249	136.55	139.913	132.775	137.088	134.118	138.653	136.375	136.696	135.313	97.8126	140.071	139.786	140.809
Chimpo	102.974	111.71	105.311	91.2103	99.2682	105.572	103.309	99.0753	102.343	101.34	104.562	106.038	98.9056	97.9341	109.178	102.978	90.791	100.237	102.159	109.266	104.78	102.524	91.3965
Chouto	107.251	118.842	110.403	116.008	117.189	115.672	113.98	116.442	114.764	117.036	114.113	111.391	115.092	117.33	123.482	118.907	117.963	116.556	114.934	90.9869	115.712	101.197	117.542
Copia	182.668	200.072	207.445	185.537	178.086	185.57	190.647	181.548	191.624	190.144	190.554	196.312	177.731	186.12	179.448	196.144	185.717	183.94	179.634	164.658	188.423	180.008	174.824
Copia-1_DSe	86.45	90.3148	103.502	90.1753	86.862	87.3052	89.133	87.9626	86.0023	89.1778	91.1662	89.9517	86.3948	89.9867	87.7795	88.6024	89.5337	88.6146	89.4128	82.872	89.6959	83.6143	89.5235
Copia-1_DSim	108.102	112.287	101.237	107.705	107.229	106.655	106.569	110.041	107.197	110.778	105.98	113.236	106.195	109.845	104.785	107.409	107.415	107.376	106.916	102.182	110.442	104.355	112.489
Copia-2_DYa	91.4827	89.6724	84.018	86.5691	87.1503	85.089	87.1672	86.1569	87.6202	88.121	86.978	88.236	87.9526	90.1778	86.1084	87.5428	87.4103	87.5987	86.574	85.3824	89.4263	87.0777	86.5822
Copia1_DM	96.6218	106.388	63.717	86.046	82.7142	85.8682	90.586	83.4264	91.5492	98.1967	88.4738	90.7128	80.2855	81.2647	95.105	88.4218	82.5906	81.7644	104.443	41.4564	93.4703	94.363	102.873
Copia2	156.834	161.122	143.862	152.982	151.041	152.589	156.496	149.222	151.76	151.581	152.029	152.323	150.239	154.24	150.976	154.521	151.868	154.47	149.122	148.809	159.361	150.309	149.017
DIVER	150.088	171.78	111.247	130.11	136.05	144.099	138.571	132.516	139.614	144.767	142.467	143.396	131.862	130.237	141.664	140.158	128.44	136.063	140.192	124.668	139.895	161.257	149.269
DIVER2	1076.68	1189.65	1145.83	1137.14	1155.73	1185.78	1195.26	1157.09	1167.5	1179.69	1166.01	1195.21	1130	1147.88	1184.29	1198.29	1128.43	1149.49	1147.89	971.408	1153.67	1056.82	1156.2
DM1731	60.3075	71.5806	73.231	70.6087	67.5273	71.7812	72.1123	68.3794	70.543	70.2108	69.2832	73.8525	68.2494	69.8667	68.7459	72.4567	71.6661	68.6604	68.3662	60.2644	71.9562	54.2876	62.2466
DM176	64.7231	64.3177	62.3368	61.048	61.7055	61.2462	62.3076	59.821	60.5877	62.112	62.4247	64.9902	61.7019	60.9837	59.7914	61.5966	61.7334	60.785	60.5172	60.6172	60.9835	62.024	62.1964
DM297	724.712	746.025	731.694	661.178	678.565	710.454	723.43	674.707	717.765	715.691	725.773	719.665	685.39	699.1	694.679	717.741	678.914	693.566	684.094	636.012	695.406	668.41	701.683
DM412	401	408.993	402.938	406.623	402.802	419.727	419.914	410.145	411.993	419.616	423.899	429.312	406.028	406.957	410.142	422.363	420.986	409.484	413.863	371.967	396.339	397.264	401.096
DMCR1A	2049.82	2059.95	1899.24	2042.21	2047.86	2041.34	2068.9	2074.05	2042.96	2094.77	2048.56	2083.22	2053.75	2038.36	2076.81	2082.63	2053.67	2048.7	2039.5	1862.89	1934.31	1923.01	2063.89
DMRP1	76.8421	73.4684	76.7284	71.4323	71.3031	72.7527	72.7472	72.9743	71.2706	72.4701	71.9203	70.3308	71.377	71.8385	71.6677	70.422	73.3285	72.258	70.9888	72.7759	72.0641	74.5509	70.3417
DMRPR	8.4056	8.11509	8.6832	9.02643	9.0024	9.0068	9.36507	9.08692	8.9024	8.70916	8.38756	7.9851	8.57985	8.6013	8.57616	8.0668	8.95477	9.11496	8.1404	7.92488	8.84288	9.26246	8.32134
DMRT1A	92.7489	103.333	96.3594	117.188	114.288	116.532	116.471	113.065	113.557	112.8	113.47	116.668	114.556	114.624	115.82	115.861	115.113	117.013	111.052	98.4096	106.802	95.7298	106.015
DMRT1B	507.592	534.652	463.908	577.057	583.584	580.281	587.728	585.042	569.668	616.711	580.16	591.323	584.817	570.322	622.097	586.107	569.599	581.372	603.386	491.166	553.044	532.552	559.906
DMRT1C	489.078	540.001	542.646	575.577	579.985	583.074	587.997	582.077	577.954	584.334	589.567	596.277	567.645	563.531	580.856	582.447	564.444	592.025	570.336	487.584	550.2	488.363	543.15
DMR_DV	2.77704	2.24181	3.417	2.70459	3.1527	2.76276	3.08913	2.53964	3.1672	2.9152	2.72568	2.9283	2.9208	2.77656	2.66954	3.35916	3.01752	3.08492	3.055	2.33404	3.51828	2.54784	2.79054
DMTOM1_LTR	23.3335	25.7874	22.1904	23.1615	23.4639	22.3753	23.7118	23.7229	23.4202	22.9025	24.1544	22.962	22.405	22.2225	23.5739	22.888	23.1343	23.3559	22.3814	20.07	22.1746	22.5325	22.89
DNA4-1_DK	62.8186	57.9593	53.4258	54.4925	52.6101	53.13	52.7228	54.0224	53.7397	52.92	53.0621	52.8126	54.619	52.2013	52.7812	54.0716	53.6308	53.4968	53.6458	57.4418	57.3304	54.6989	57.4323
DNAREP1_DSim	3980.82	3939.27	3906.78	3778.89	3760.05	3769.56	3747.71	3763.29	3748.26	3790.42	3780.75	3754.66	3786.67	3784.12	3750.09	3796.03	3776.93	3807.78	3729.01	3864.93	3794.31	3853.53	3880.67
DNAREP2_DSim	137.66	127.639	147.44	122.363	122.36	122.948	123.223	125.176	122.982	126.183	123.885	123.801	122.187	123.718	120.918	124.132	122.084	125.158	122.717	137.41	122.574	125.946	131.52
DOC	59.0839	59.0343	67.938	61.6379	61.5102	62.0558	61.3064	62.0377	61.6748	62.1302	60.53	62.7714	62.6755	61.5169	61.0421	61.0789	59.4843	64.28	60.536	58.8531	59.7568	58.1359	59.2173
DOC2_DM	390.318	410.5	368.178	387.48	402.997	392.099	400.232	385.585	391.791	403.682	405.207	415.341	388.576	395.781	399.632	394.226	391.076	411.161	387.412	306.94	385.016	360.44	396.219
DOC3_DM	354.046	373.556	354.618	360	353.66	363.784	356.117	359.425	355.172	369.438	361.164	363.574	356.228	361.405	361.134	364.872	353.874	367.469	360.142	334.473	359.404	353.805	370.79
DOC4_DM	30.6219	29.4582	35.309	30.2513	29.1462	29.0748	28.8767	30.094	28.6846	30.3636	28.8191	29.9667	29.3175	29.2344	28.8499	29.1248	31.0413	30.1782	29.8074	28.3613	28.8607	27.9864	30.2309
DOC5_DM	142.374	141.444	142.616	149.654	148.502	149.169	145.885	152.232	147.583	151.308	148.505	153.962	151.273	149.371	148.275	151.644	151.337	150.937	146.349	148.971	144.425	143.263	147.622
DOC6_DM	6.07544	11.2746	11.3632	8.87061	8.7792	8.78416	8.97435	8.04464	8.74832	8.59073	9.31828	8.3592	8.38513	8.68178	8.47106	8.52432	8.2423	8.1084	8.46	18.0617	8.43848	8.38664	7.15233
FB4_DM	427.462	433.128	407.842	383.495	382.221	383.184	384.42	385.262	386.715	384.15	380.908	381.285	385.144	389.111	386.285	381.391	390.028	387.106	389.63	445.015	392.376	422.941	390.751
FROGGER	6.50104	7.24983	13.534	7.95795	7.2447	7.42808	7.30158	7.88316	7.25888	7.67973	8.1438	7.998	7.31417	7.6959	7.60924	7.21196	8.14451	7.25096	7.7362	7.23281	7.0096	6.35633	7.47915
FW2_DM	86.4287	86.3687	73.4186	85.6676	85.5693	83.3281	83.1501	83.999	85.0693	86.0439	86.0805	85.9785	86.2001	83.6992	86.7285	82.8954	86.7816	86.415	84.3838	84.8532	86.2316	79.9783	86.3308
FW3_DM	47.6034	49.3723	43.8984	44.1638	44.826	44.447	45.4212	42.6894	42.9969	45.1765	43.2896	46.2852	43.5686	44.9078	44.8882	43.2236	42.7063	44.6428	44.3868	41.7142	45.2928	46.3787	45.9559
FW_DM	420.993	441.178	390.516	420.202	431.604	433.814	441.123	439.46	426.425	463.407	435.411	450.004	431.402	433.616	452.813	441.218	415.971	440.025	452.253	351.382	407.716	413.175	420.668
G3_DM	44.2837	45.6359	43.6974	45.1321	45.5049	45.3376	45.5799	45.552	44.1696	45.3769	46.392	45.9756	44.53	43.5497	45.151	45.5714	43.9496	44.7826	45.1294	41.4292	42.6238	43.2867	46.4587
G4_DM	50.7102	50.0278	37.252	41.3925	40.9107	40.399	40.9768	41.1774	39.9838	41.2683	40.9738	40.9704	39.9663	42.8858	41.2097	39.8283	41.2534	42.5831	39.7902	37.1275	41.5454	43.7777	41.8455
G5A_DM	68.6599	78.0438	73.566	78.1994	75.1161	78.5008	77.2283	76.1892	77.4594	78.9382	76.6847	77.4258	76.0503	75.4701	77.753	78.8138	77.4776	75.93	76.9484	70.8083	75.6093	74.2456	72.1392
G5_DM	272.086	294.477	307.878	296.347	306.1	306.12	316.691	304.948	308.785	310.87	312.844	317.895	300.124	306.599	297.338	315.677	296.346	307.607	307.352	260.164	290.44	261.061	271.977
G6_DM	9.044	10.134	11.9528	14.7027	13.8291	13.8644	14.2002	14.5772	14.0555	14.5213	14.0938	15.5703	14.604	14.0739	14.714	13.9303	13.7465	14.0918	15.2186	11.3309	12.6847	13.124	16.0519
G7_DM	4.38368	4.4574	4.4756	4.65234	4.3524	4.27064	4.11477	3.93424	3.90336	3.92641	4.27688	4.5279	4.45422	4.36604	3.89921	4.61132	4.16306	4.1008	4.3804	2.56473	3.53176	4.23313	3.8967
GTWIN	233.633	272.518	264.931	259.707	264.678	268.929	274.285	270.905	268.253	266.121	267.77	275.789	263.237	266.077	264.778	274.223	260.778	262.954	260.267	214.487	256.915	239.033	233.701
G_DM	35.1758	37.1931	35.5502	37.2187	34.9587	36.4219	36.7155	34.3806	35.3528	37.3783	36.2427	36.6489	36.7656	35.8538	36.4171	36.5053	37.3697	35.5092	36.331	37.3446	35.2637	36.5588	38.4642
Galileo_DM	51.0188	50.7488	51.791	53.8247	53.0379	51.6322	53.6996	53.4205	54.2019	53.0384	53.1064	53.3415	52.7813	54.2636	54.8202	53.0482	52.625	54.5406	52.8562	52.0545	52.1002	53.1596	51.2856
Gypsy-10_DSim	105.889	102.219	106.021	104.822	103.816	103.497	100.281	98.9726	104.261	106.715	105.116	104.335	100.561	104.111	103.082	105.615	102.093	101.448	101.868	101.843	99.5498	98.2776	102.068
Gypsy-11_DSim	387.275	383.009	348.655	388.159	386.638	378.63	391.074	391.883	377.547	395.775	385.85	393.811	384	386.898	413.274	386.111	386.201	387.265	392.215	343.715	366.359	368.229	389.305
Gypsy-12_DSim	343.449	332.64	300.401	288.078	307.132	305.998	314.029	306.328	307.595	342.718	312.101	318.849	291.593	301.84	346.347	314.99	291.079	305.407	321.489	271.984	314.394	331.458	336.31
Gypsy-13_DSim	358.27	396.997	376.473	440.069	428.525	432.235	443.406	437.625	425.15	428.197	432.63	440.341	422.007	421.071	432.77	430.322	437.708	442.495	425.999	371.438	414.591	368.083	418.694
Gypsy-1_DSe	268.171	270.708	237.689	253.931	255.778	251.887	259.316	258.691	250.714	261.02	258.064	260.799	257.712	255.544	259.072	254.393	258.054	260.438	251.582	334.012	245.538	249.848	269.777
Gypsy-1_DSim	1799.22	1794.44	1673.65	1589.79	1677.93	1666.7	1696.85	1675.03	1688.95	1788.61	1693.31	1742.29	1632.74	1702.62	1736.95	1725.66	1645.83	1700.22	1706.73	1502.38	1699.56	1728.54	1746.16
Gypsy-26_DYa	153.173	160.86	162.354	166.727	167.502	165.32	167.338	164.68	159.944	165.438	161.613	167.481	163.808	162.62	167.309	170.583	164.692	169.018	163.428	157.168	165.939	160.023	163.071
Gypsy-27_DYa	96.7495	103.294	90.45	98.7008	98.5521	98.6902	98.3882	101.527	99.0135	102.788	97.371	102.916	99.94	101.204	101.579	98.138	99.2149	103.126	97.7976	84.6497	100.52	99.7771	102.257
Gypsy-28_DYa	20.7054	21.7626	20.5958	21.0357	22.5897	23.5695	21.7826	22.1081	22.8809	23.3307	22.8359	23.3619	22.4171	22.7557	21.2302	23.4058	23.1623	23.7008	22.748	16.9082	20.6648	20.4225	22.2489
Gypsy-29_DYa	5.1072	5.16534	6.3114	5.74308	5.0034	5.28264	5.07936	5.47564	4.90488	5.02872	5.96104	5.8824	5.39131	5.29156	5.37061	5.5384	5.05714	5.2192	5.2264	5.68583	5.13588	5.48051	5.1537
Gypsy-2_DSe	74.5438	85.5821	70.0954	69.095	68.6991	67.7939	68.8766	69.9208	66.0404	71.969	70.635	68.5893	71.4501	67.4523	69.5762	70.434	67.7824	70.2262	68.0278	86.5359	64.2457	74.2324	75.1058
Gypsy-2_DSim	280.258	312.464	291.772	248.299	249.519	243.781	250.244	245.552	240.51	257.813	240.237	257.213	241.307	255.896	261.289	261.16	258.249	253.653	241.768	226.755	242.155	274.662	276.54
Gypsy-31_DYa	72.3839	74.2419	78.6982	74.5265	73.377	74.3719	73.8094	79.1252	76.047	76.7153	77.2276	78.3417	75.8069	75.108	73.6961	78.3804	75.9409	77.6542	74.5138	70.754	75.7172	75.2144	76.1365
Gypsy-3_DSim	78.4168	77.6505	75.4152	77.2088	76.8831	77.59	77.8876	77.5544	75.9786	77.2255	76.2636	77.8257	77.815	78.5686	77.1224	80.3068	79.168	79.4996	77.0048	90.5798	72.3741	73.476	77.4312
Gypsy-4_DSim	444.39	415.6	352.259	381.191	382.146	387.667	390.28	384.792	391.723	459.918	398.88	399.1	383.172	399.935	442.503	393.66	389.232	393.201	437.166	362.102	390.516	441.811	449.114
Gypsy-5_DSe	223.451	224.417	197.141	214.642	223.637	223.875	224.041	226.586	224.255	229.208	224.603	229.349	225.912	228.935	221.551	232.24	218.505	227.734	217.601	181.485	223.094	231.92	204.451
Gypsy-5_DSim	100.899	113.205	116.768	115.618	104.086	108.122	108.315	113.124	106.598	115.059	108.673	131.387	110.625	105.378	104.07	116.656	139.337	125.652	105.073	141.142	105.926	100.109	115.933
Gypsy-6_DSe	262.457	287.882	293.339	247.531	251.026	265.276	268.51	262.023	264.222	268.636	260.591	276.976	257.955	254.981	292.273	270.9	246.906	259.338	256.714	234.083	281.516	257.637	259.193
Gypsy-6_DSim	209.714	220.025	201.469	199.438	201.577	209.636	214.151	201.454	210.097	208.637	212.625	220.59	202.314	204.097	210.957	215.203	203.599	206.019	197.24	171.376	212.566	187.147	201.987
Gypsy-7_DSe	67.6066	74.1371	84.621	79.368	80.6961	79.9581	77.6678	77.1728	79.822	80.1498	81.992	80.8185	76.6832	78.7195	79.2874	82.5101	77.6033	81.4195	76.8544	92.1946	86.1372	70.4106	69.8641
Gypsy-7_DSim	187.519	204.936	219.09	212.794	214.932	211.67	215.433	211.818	206.176	212.828	212.858	218.242	214.289	208.433	208.518	210.724	210.235	210.455	207.58	193.44	200.785	186.868	209.617
Gypsy-8_DSe	153.482	157.844	121.377	139.893	153.85	159.673	158.608	151.688	159.627	160.3	163.064	160.334	154.243	160.055	180.362	163.046	146.489	155.812	153.333	103.146	146.11	138.725	138.031
Gypsy-8_DSim	281.098	321.824	269.956	267.009	284.636	284.544	290.61	291.207	284.714	304.684	291.759	298.777	280.75	287.062	292.809	297.364	270.822	288.566	291.748	247.53	280.573	300.38	299.92
Gypsy-9_DSim	204.692	211.294	193.938	218.615	216.699	214.514	216.911	221.242	213.932	222.585	217.744	223.712	215.944	220.183	216.054	221.307	215.11	216.196	216.849	219.332	215.896	203.681	210.397
Gypsy2_DM	78.9914	90.0002	87.4484	86.7472	82.7886	88.4286	93.089	89.8416	91.1041	87.2465	89.9807	89.1648	89.5104	82.1701	87.5063	93.0692	85.7758	86.4896	84.412	76.372	86.1237	79.0892	81.1645
Gypsy_6B	85.5988	87.7846	86.095	88.5837	88.8522	89.1673	89.4627	88.9461	87.7229	92.8582	88.9724	92.1447	91.3359	89.9666	90.859	90.8659	91.8388	88.3536	86.9218	82.8041	81.9988	83.6541	87.7009
HELENA	1.61728	1.74363	1.9296	1.58046	1.7763	1.69004	1.80708	1.57076	1.498	1.822	1.42932	1.6254	1.80116	1.66996	1.7867	1.79396	1.49479	1.70556	1.7202	1.6284	1.8198	1.53932	1.47069
HELENA_RT	13.4277	14.1195	13.5742	11.0632	14.8521	13.8543	14.2857	12.9478	13.9785	14.6216	13.706	14.5512	12.5473	15.6835	14.136	14.9176	10.7848	15.5085	14.3632	10.2861	13.6822	13.1108	13.4499
HETA	80.2362	83.3796	68.4472	41.5483	55.2885	43.1213	44.9084	45.4493	41.302	44.967	41.9378	47.6139	46.3312	43.1071	45.8341	45.9687	43.3768	54.9228	45.8626	44.9845	38.1349	70.8883	92.7917
HETRP_DM	7.86296	15.8893	12.1672	8.18055	8.0166	8.26804	7.39926	7.44276	7.90088	7.36088	7.26848	8.1786	7.47238	7.40416	8.15576	8.16312	7.45998	7.69832	7.3884	14.0585	7.87232	15.7249	9.65376
HMSBEAGLE_I-int	256.658	256.772	317.191	259.329	262.269	263.484	267.924	269.804	264.786	267.515	270.208	270.603	262.178	257.284	260.154	270.069	266.478	266.272	262.57	317.701	263.305	255.195	261.23
HOBO	198.745	185.598	110.59	332.564	326.867	324.457	338.62	336.26	325.99	322.011	314.916	324.125	333.312	317.413	323.613	325.008	324.467	320.142	331.162	103.051	337.324	209.586	160.569
Harbinger1_DYa	49.2206	50.054	47.9452	55.305	54.7956	53.2919	53.724	53.5967	52.6526	52.7469	54.2809	53.535	52.7813	51.5877	58.5302	53.0121	53.0301	52.3784	51.8692	49.2184	47.6518	47.7322	48.7967
Helena_Ds	221.759	234.145	200.33	224.715	234.899	238.599	234.188	236.979	238.507	241.406	235.904	240.649	232.082	231.803	236.633	238.765	223.702	238.303	234.304	185.556	228.594	217.429	221.609
Helitron-1_DYak	34.1331	33.9025	33.1516	35.1708	39.1251	36.9076	35.8974	39.7975	35.9691	36.6313	35.5779	36.5973	38.0312	38.4393	37.3946	36.5294	36.4338	37.1122	36.6976	32.5001	35.2772	34.0243	38.2002
Heta-1_D	36.7612	46.96	30.8334	24.9423	29.9553	32.809	38.4493	26.424	31.7148	29.5164	31.2899	34.6365	27.0417	30.0492	26.6744	36.7822	28.0518	29.358	27.8804	25.8644	30.0874	29.2471	36.6541
Heta-2	19.6627	17.4625	16.8706	20.29	14.3964	18.2868	18.2784	20.2878	18.4211	19.9873	18.6144	18.1761	17.7804	16.267	19.7378	19.9984	20.8991	15.4619	19.928	18.5502	16.3108	16.3619	19.3075
Heta-3	18.5242	20.7531	20.7298	19.8559	19.9392	18.8131	19.2918	20.1997	18.1301	19.459	19.9108	19.9047	20.6403	19.1442	18.9916	20.0948	20.3683	19.5347	19.0256	19.7308	19.182	23.7135	22.9151
Heta-5	11.2571	11.2746	10.0902	10.1839	8.928	10.2819	10.4151	9.175	9.91248	10.5494	10.382	10.2168	9.9794	9.6576	9.59563	12.4012	13.3274	9.786	9.0616	18.8759	8.81592	10.5496	12.7837
IDEFIX	237.857	243.256	232.423	208.153	215.444	222.842	222.967	221.022	223.818	242.973	228.924	232.006	215.08	221.521	228.761	230.867	216.451	216.634	225.064	189.383	232.314	231.92	236.618
ISFUN1	37.4528	35.6723	38.1096	35.7384	35.7213	34.5902	36.0073	33.6759	34.6937	35.6201	34.9242	34.6365	35.7433	36.2462	36.0913	35.1568	36.322	34.8102	34.9492	37.2089	35.1693	35.4309	35.1457
IVK_DM	160.196	153.243	147.186	162.632	159.355	161.95	160.928	163.858	159.849	163.397	161.979	163.946	161.715	162.751	158.207	164.069	158.308	162.997	162.554	155.743	157.662	148.942	142.984
I_DM	256.594	264.547	249.83	253.252	259.07	257.746	257.582	264.328	254.318	264.7	267.006	265.185	259.927	259.669	259.45	259.775	256.489	263.681	255.276	238.561	261.714	247.937	260.488
Invader1	124.882	128.924	131.414	125.88	133.529	127.239	128.706	132.399	126.97	132.141	128.229	133.451	128.698	133.426	131.039	128.069	126.442	136.193	127.633	126.622	129.489	130.418	129.521
Invader2	175.39	193.071	182.964	175.03	183.126	186.087	189.78	184.586	188.602	191.246	192.16	193.577	183.037	184.39	201.803	194.747	179.179	192.523	188.226	161.605	198.062	170.851	186.011
Invader3	136.82	169.84	156.365	137.478	138.412	142.54	153.993	121.418	149.235	134.154	146.788	186.676	118.39	146.001	133.498	162.636	164.539	147.852	131.929	152.92	148.01	132.368	119.377
Invader4	77.3315	78.8304	75.0668	76.8749	79.7196	80.9195	79.7069	79.228	79.9504	80.4595	79.632	82.6761	80.9427	80.0273	79.918	79.2473	79.8106	80.7671	80.088	73.0337	81.3114	77.2978	78.7636
Invader5	27.5682	29.196	26.3176	28.8601	29.4717	32.2018	28.1074	29.8298	31.8603	30.4092	30.4257	30.3279	29.2202	30.3007	28.9971	30.6418	29.5605	29.0132	29.6006	25.5659	30.02	26.1552	27.9808
